date,code,broker,lot,val,avg,status,fd
05/10/2019,JPFA,CP,31811.0,46889414,1474.0,B,A
05/10/2019,JPFA,YP,28651.0,42374829,1479.0,B,A
05/10/2019,JPFA,PD,18657.0,27537732,1476.0,B,A
05/10/2019,JPFA,CG,11603.0,16975189,1463.0,B,A
05/10/2019,JPFA,DR,10722.0,15879282,1481.0,B,A
05/10/2019,JPFA,YU,9710.0,14370800,1480.0,B,A
05/10/2019,JPFA,ZP,9337.0,13753401,1473.0,B,A
05/10/2019,JPFA,GR,7984.0,11752448,1472.0,B,A
05/10/2019,JPFA,NI,7700.0,11411400,1482.0,B,A
05/10/2019,JPFA,YJ,7140.0,10545780,1477.0,B,A
05/10/2019,JPFA,YP,33972.0,50380476,1483.0,S,A
05/10/2019,JPFA,CC,18317.0,27054209,1477.0,S,A
05/10/2019,JPFA,AK,17880.0,26337240,1473.0,S,A
05/10/2019,JPFA,PD,10529.0,15551333,1477.0,S,A
05/10/2019,JPFA,GR,9175.0,13514775,1473.0,S,A
05/10/2019,JPFA,NI,7088.0,10497328,1481.0,S,A
05/10/2019,JPFA,KK,6890.0,10093850,1465.0,S,A
05/10/2019,JPFA,CP,6728.0,9910344,1473.0,S,A
05/10/2019,JPFA,YU,6539.0,9690798,1482.0,S,A
05/10/2019,JPFA,IF,5963.0,8795425,1475.0,S,A
05/10/2019,JPFA,CG,11603.0,16975189,1463.0,B,F
05/10/2019,JPFA,DX,4962.0,7373532,1486.0,B,F
05/10/2019,JPFA,CS,1218.0,1803858,1481.0,B,F
05/10/2019,JPFA,YU,1000.0,1505000,1505.0,B,F
05/10/2019,JPFA,AK,762.0,1132332,1486.0,B,F
05/10/2019,JPFA,KI,200.0,291000,1455.0,B,F
05/10/2019,JPFA,YP,66.0,99660,1510.0,B,F
05/10/2019,JPFA,GR,50.0,73500,1470.0,B,F
05/10/2019,JPFA,CC,16.0,23680,1480.0,B,F
05/10/2019,JPFA,AK,17880.0,26337240,1473.0,S,F
05/10/2019,JPFA,CS,5335.0,7917140,1484.0,S,F
05/10/2019,JPFA,BK,2016.0,2971584,1474.0,S,F
05/10/2019,JPFA,YU,1000.0,1485000,1485.0,S,F
05/10/2019,JPFA,CC,628.0,916880,1460.0,S,F
05/10/2019,JPFA,AI,170.0,252450,1485.0,S,F
05/10/2019,JPFA,MS,51.0,75531,1481.0,S,F
05/10/2019,JPFA,YP,7.0,10325,1475.0,S,F
05/10/2019,JPFA,CP,31811.0,46889414,1474.0,B,D
05/10/2019,JPFA,YP,28585.0,42277215,1479.0,B,D
05/10/2019,JPFA,PD,18657.0,27537732,1476.0,B,D
05/10/2019,JPFA,DR,10722.0,15879282,1481.0,B,D
05/10/2019,JPFA,ZP,9337.0,13753401,1473.0,B,D
05/10/2019,JPFA,YU,8710.0,12864670,1477.0,B,D
05/10/2019,JPFA,GR,7934.0,11678848,1472.0,B,D
05/10/2019,JPFA,NI,7700.0,11411400,1482.0,B,D
05/10/2019,JPFA,YJ,7140.0,10545780,1477.0,B,D
05/10/2019,JPFA,KK,6970.0,10385300,1490.0,B,D
05/10/2019,JPFA,YP,33965.0,50370095,1483.0,S,D
05/10/2019,JPFA,CC,17689.0,26126653,1477.0,S,D
05/10/2019,JPFA,PD,10529.0,15551333,1477.0,S,D
05/10/2019,JPFA,GR,9175.0,13514775,1473.0,S,D
05/10/2019,JPFA,NI,7088.0,10497328,1481.0,S,D
05/10/2019,JPFA,KK,6890.0,10093850,1465.0,S,D
05/10/2019,JPFA,CP,6728.0,9910344,1473.0,S,D
05/10/2019,JPFA,IF,5963.0,8795425,1475.0,S,D
05/10/2019,JPFA,DR,5787.0,8553186,1478.0,S,D
05/10/2019,JPFA,YU,5539.0,8208798,1482.0,S,D
05/13/2019,JPFA,CG,86157.0,124841493,1449.0,B,A
05/13/2019,JPFA,YP,38765.0,56325545,1453.0,B,A
05/13/2019,JPFA,DX,14807.0,21647834,1462.0,B,A
05/13/2019,JPFA,PD,11735.0,17039220,1452.0,B,A
05/13/2019,JPFA,CC,8839.0,12887262,1458.0,B,A
05/13/2019,JPFA,DH,8071.0,11735234,1454.0,B,A
05/13/2019,JPFA,ZP,7040.0,10362880,1472.0,B,A
05/13/2019,JPFA,KK,5398.0,7897274,1463.0,B,A
05/13/2019,JPFA,YJ,5000.0,7370000,1474.0,B,A
05/13/2019,JPFA,LG,4292.0,6227692,1451.0,B,A
05/13/2019,JPFA,BK,39112.0,56947072,1456.0,S,A
05/13/2019,JPFA,CC,15038.0,21714872,1444.0,S,A
05/13/2019,JPFA,YP,14580.0,21315960,1462.0,S,A
05/13/2019,JPFA,YU,13924.0,20203724,1451.0,S,A
05/13/2019,JPFA,PD,12974.0,18682560,1440.0,S,A
05/13/2019,JPFA,CP,10877.0,15956559,1467.0,S,A
05/13/2019,JPFA,DX,10265.0,14956105,1457.0,S,A
05/13/2019,JPFA,MI,10000.0,14600000,1460.0,S,A
05/13/2019,JPFA,AZ,8791.0,12746950,1450.0,S,A
05/13/2019,JPFA,GR,8715.0,12558315,1441.0,S,A
05/13/2019,JPFA,CG,86157.0,124841493,1449.0,B,F
05/13/2019,JPFA,DX,10000.0,14630000,1463.0,B,F
05/13/2019,JPFA,ZP,6280.0,9269280,1476.0,B,F
05/13/2019,JPFA,AO,3000.0,4320000,1440.0,B,F
05/13/2019,JPFA,PK,2000.0,2890000,1445.0,B,F
05/13/2019,JPFA,IN,2000.0,2860000,1430.0,B,F
05/13/2019,JPFA,YU,1000.0,1470000,1470.0,B,F
05/13/2019,JPFA,YP,573.0,830850,1450.0,B,F
05/13/2019,JPFA,GR,125.0,181875,1455.0,B,F
05/13/2019,JPFA,OD,8.0,11480,1435.0,B,F
05/13/2019,JPFA,BK,39112.0,56947072,1456.0,S,F
05/13/2019,JPFA,CS,7724.0,11246144,1456.0,S,F
05/13/2019,JPFA,DX,7445.0,10854810,1458.0,S,F
05/13/2019,JPFA,AK,5820.0,8526300,1465.0,S,F
05/13/2019,JPFA,YU,1000.0,1430000,1430.0,S,F
05/13/2019,JPFA,CC,408.0,595680,1460.0,S,F
05/13/2019,JPFA,MS,11.0,16038,1458.0,S,F
05/13/2019,JPFA,YP,38192.0,55492976,1453.0,B,D
05/13/2019,JPFA,PD,11735.0,17039220,1452.0,B,D
05/13/2019,JPFA,CC,8839.0,12887262,1458.0,B,D
05/13/2019,JPFA,DH,8071.0,11735234,1454.0,B,D
05/13/2019,JPFA,KK,5398.0,7897274,1463.0,B,D
05/13/2019,JPFA,YJ,5000.0,7370000,1474.0,B,D
05/13/2019,JPFA,DX,4807.0,7023027,1461.0,B,D
05/13/2019,JPFA,LG,4292.0,6227692,1451.0,B,D
05/13/2019,JPFA,GR,3610.0,5270600,1460.0,B,D
05/13/2019,JPFA,RB,3500.0,5106500,1459.0,B,D
05/13/2019,JPFA,CC,14630.0,21111090,1443.0,S,D
05/13/2019,JPFA,YP,14580.0,21315960,1462.0,S,D
05/13/2019,JPFA,PD,12974.0,18682560,1440.0,S,D
05/13/2019,JPFA,YU,12924.0,18765648,1452.0,S,D
05/13/2019,JPFA,CP,10877.0,15956559,1467.0,S,D
05/13/2019,JPFA,MI,10000.0,14600000,1460.0,S,D
05/13/2019,JPFA,AZ,8791.0,12746950,1450.0,S,D
05/13/2019,JPFA,GR,8715.0,12558315,1441.0,S,D
05/13/2019,JPFA,FS,7651.0,11017440,1440.0,S,D
05/13/2019,JPFA,KI,6200.0,9089200,1466.0,S,D
05/14/2019,JPFA,YP,34275.0,47779350,1394.0,B,A
05/14/2019,JPFA,DX,20173.0,29674483,1471.0,B,A
05/14/2019,JPFA,CG,19606.0,27311158,1393.0,B,A
05/14/2019,JPFA,PD,18692.0,26037956,1393.0,B,A
05/14/2019,JPFA,YU,17454.0,24295968,1392.0,B,A
05/14/2019,JPFA,LG,16813.0,23370070,1390.0,B,A
05/14/2019,JPFA,CC,15659.0,21844305,1395.0,B,A
05/14/2019,JPFA,AO,11533.0,16077002,1394.0,B,A
05/14/2019,JPFA,ZP,11464.0,15957888,1392.0,B,A
05/14/2019,JPFA,CP,9687.0,13503678,1394.0,B,A
05/14/2019,JPFA,YP,33730.0,47019620,1394.0,S,A
05/14/2019,JPFA,CC,25672.0,35786768,1394.0,S,A
05/14/2019,JPFA,LG,16685.0,23325630,1398.0,S,A
05/14/2019,JPFA,YB,15431.0,21464521,1391.0,S,A
05/14/2019,JPFA,PD,14760.0,20575440,1394.0,S,A
05/14/2019,JPFA,KZ,14423.0,20091239,1393.0,S,A
05/14/2019,JPFA,DX,12324.0,18744804,1521.0,S,A
05/14/2019,JPFA,CG,11968.0,16671424,1393.0,S,A
05/14/2019,JPFA,GR,9797.0,13637424,1392.0,S,A
05/14/2019,JPFA,CP,9523.0,13246493,1391.0,S,A
05/14/2019,JPFA,CG,19606.0,27311158,1393.0,B,F
05/14/2019,JPFA,DX,10000.0,13930000,1393.0,B,F
05/14/2019,JPFA,YU,9718.0,13498302,1389.0,B,F
05/14/2019,JPFA,AO,9500.0,13252500,1395.0,B,F
05/14/2019,JPFA,BK,3341.0,4643990,1390.0,B,F
