,date,code,broker,lot,val,avg,status,fd
0,05/10/2019,POSA,SA,3999.0,1015746.0,254.0,B,A
1,05/10/2019,POSA,YB,2367.0,601218.0,254.0,B,A
2,05/10/2019,POSA,HP,1122.0,284988.0,254.0,B,A
3,05/10/2019,POSA,XA,120.0,18000.0,150.0,B,A
4,05/10/2019,POSA,EP,100.0,20000.0,200.0,B,A
5,05/10/2019,POSA,AI,34.0,6460.0,190.0,B,A
6,05/10/2019,POSA,,,,,B,A
7,05/10/2019,POSA,,,,,B,A
8,05/10/2019,POSA,,,,,B,A
9,05/10/2019,POSA,,,,,B,A
10,05/10/2019,POSA,PC,2310.0,586740.0,254.0,S,A
11,05/10/2019,POSA,XA,1480.0,364080.0,246.0,S,A
12,05/10/2019,POSA,PD,1430.0,363220.0,254.0,S,A
13,05/10/2019,POSA,SQ,1130.0,287020.0,254.0,S,A
14,05/10/2019,POSA,CP,546.0,131040.0,240.0,S,A
15,05/10/2019,POSA,GR,360.0,91440.0,254.0,S,A
16,05/10/2019,POSA,AO,355.0,90170.0,254.0,S,A
17,05/10/2019,POSA,ID,36.0,9144.0,254.0,S,A
18,05/10/2019,POSA,NI,33.0,8382.0,254.0,S,A
19,05/10/2019,POSA,BQ,30.0,7620.0,254.0,S,A
20,05/10/2019,POSA,,,,,B,F
21,05/10/2019,POSA,,,,,B,F
22,05/10/2019,POSA,,,,,B,F
23,05/10/2019,POSA,,,,,B,F
24,05/10/2019,POSA,,,,,B,F
25,05/10/2019,POSA,,,,,B,F
26,05/10/2019,POSA,,,,,B,F
27,05/10/2019,POSA,,,,,B,F
28,05/10/2019,POSA,,,,,B,F
29,05/10/2019,POSA,,,,,B,F
30,05/10/2019,POSA,,,,,S,F
31,05/10/2019,POSA,,,,,S,F
32,05/10/2019,POSA,,,,,S,F
33,05/10/2019,POSA,,,,,S,F
34,05/10/2019,POSA,,,,,S,F
35,05/10/2019,POSA,,,,,S,F
36,05/10/2019,POSA,,,,,S,F
37,05/10/2019,POSA,,,,,S,F
38,05/10/2019,POSA,,,,,S,F
39,05/10/2019,POSA,,,,,S,F
40,05/10/2019,POSA,SA,3999.0,1015746.0,254.0,B,D
41,05/10/2019,POSA,YB,2367.0,601218.0,254.0,B,D
42,05/10/2019,POSA,HP,1122.0,284988.0,254.0,B,D
43,05/10/2019,POSA,XA,120.0,18000.0,150.0,B,D
44,05/10/2019,POSA,EP,100.0,20000.0,200.0,B,D
45,05/10/2019,POSA,AI,34.0,6460.0,190.0,B,D
46,05/10/2019,POSA,,,,,B,D
47,05/10/2019,POSA,,,,,B,D
48,05/10/2019,POSA,,,,,B,D
49,05/10/2019,POSA,,,,,B,D
50,05/10/2019,POSA,PC,2310.0,586740.0,254.0,S,D
51,05/10/2019,POSA,XA,1480.0,364080.0,246.0,S,D
52,05/10/2019,POSA,PD,1430.0,363220.0,254.0,S,D
53,05/10/2019,POSA,SQ,1130.0,287020.0,254.0,S,D
54,05/10/2019,POSA,CP,546.0,131040.0,240.0,S,D
