average,broker_code,date,emiten,id,lot,type,value
,,2020-11-07,SCMA,SCMA-2020-11-07-B-0,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-0,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-1,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-1,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-2,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-2,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-3,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-3,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-4,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-4,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-5,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-5,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-6,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-6,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-7,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-7,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-8,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-8,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-9,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-9,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-0,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-0,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-1,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-1,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-2,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-2,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-3,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-3,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-4,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-4,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-5,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-5,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-6,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-6,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-7,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-7,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-8,,B,
,,2020-11-07,SCMA,SCMA-2020-11-07-S-8,,S,
,,2020-11-07,SCMA,SCMA-2020-11-07-B-9,,B,
