average,broker_code,date,emiten,id,lot,type,value
,,2020-11-07,ASII,ASII-2020-11-07-B-0,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-0,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-1,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-1,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-2,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-2,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-3,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-3,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-4,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-4,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-5,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-5,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-6,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-6,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-7,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-7,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-8,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-8,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-9,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-9,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-0,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-0,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-1,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-1,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-2,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-2,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-3,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-3,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-4,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-4,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-5,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-5,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-6,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-6,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-7,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-7,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-8,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-8,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-9,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-9,,S,
"5,746 ",AK,2020-11-06,ASII,ASII-2020-11-06-B-0,"102,611 ",B,59.0 B
"5,745 ",AT,2020-11-06,ASII,ASII-2020-11-06-S-0,"70,652 ",S,40.6 B
"5,796 ",ZP,2020-11-06,ASII,ASII-2020-11-06-B-1,"89,506 ",B,51.9 B
"5,832 ",ZP,2020-11-06,ASII,ASII-2020-11-06-S-1,"68,881 ",S,40.2 B
"5,692 ",KZ,2020-11-06,ASII,ASII-2020-11-06-B-2,"78,634 ",B,44.8 B
"5,799 ",PD,2020-11-06,ASII,ASII-2020-11-06-S-2,"54,594 ",S,31.7 B
"5,693 ",BK,2020-11-06,ASII,ASII-2020-11-06-B-3,"77,322 ",B,44.0 B
"5,636 ",CG,2020-11-06,ASII,ASII-2020-11-06-S-3,"51,848 ",S,29.2 B
"5,818 ",YU,2020-11-06,ASII,ASII-2020-11-06-B-4,"47,630 ",B,27.7 B
"5,739 ",YU,2020-11-06,ASII,ASII-2020-11-06-S-4,"43,535 ",S,25.0 B
"5,775 ",GR,2020-11-06,ASII,ASII-2020-11-06-B-5,"44,394 ",B,25.6 B
"5,653 ",CC,2020-11-06,ASII,ASII-2020-11-06-S-5,"37,230 ",S,21.0 B
"5,796 ",DH,2020-11-06,ASII,ASII-2020-11-06-B-6,"36,927 ",B,21.4 B
"5,734 ",YP,2020-11-06,ASII,ASII-2020-11-06-S-6,"35,268 ",S,20.2 B
"5,715 ",CS,2020-11-06,ASII,ASII-2020-11-06-B-7,"36,739 ",B,21.0 B
,,2020-11-07,ASII,ASII-2020-11-07-B-0,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-0,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-1,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-1,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-2,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-2,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-3,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-3,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-4,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-4,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-5,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-5,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-6,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-6,,S,
,,2020-11-07,ASII,ASII-2020-11-07-B-7,,B,
,,2020-11-07,ASII,ASII-2020-11-07-S-7,,S,
"5,825 ",BK,2020-11-06,ASII,ASII-2020-11-06-S-7,"27,457 ",S,16.0 B
"5,816 ",CG,2020-11-06,ASII,ASII-2020-11-06-B-8,"17,888 ",B,10.4 B
